id,game_id,sport,ts,book,away_ml,home_ml,snapshot_type
83,nfl-b225458a282e140c44c45651255f2f6c,nfl,2026-09-21T23:36:22.899782,betmgm,270,-325,open
84,nfl-b225458a282e140c44c45651255f2f6c,nfl,2026-09-21T23:36:22.899782,pinnacle,265,-319,open
85,nfl-613b8cd3a5fab58f7be4e3fd6f76223e,nfl,2026-09-21T23:36:22.899782,draftkings,-155,130,open
86,nfl-613b8cd3a5fab58f7be4e3fd6f76223e,nfl,2026-09-21T23:36:22.899782,fanduel,-146,124,open
87,nfl-613b8cd3a5fab58f7be4e3fd6f76223e,nfl,2026-09-21T23:36:22.899782,betmgm,-145,125,open
88,nfl-613b8cd3a5fab58f7be4e3fd6f76223e,nfl,2026-09-21T23:36:22.899782,pinnacle,-151,133,open
89,nfl-71123be049587b6facce3a20c53e5d09,nfl,2026-09-21T23:36:22.899782,draftkings,-185,154,open
90,nfl-71123be049587b6facce3a20c53e5d09,nfl,2026-09-21T23:36:22.899782,fanduel,-172,144,open
91,nfl-71123be049587b6facce3a20c53e5d09,nfl,2026-09-21T23:36:22.899782,betmgm,-185,150,open
92,nfl-71123be049587b6facce3a20c53e5d09,nfl,2026-09-21T23:36:22.899782,pinnacle,-185,162,open
93,nfl-07f552badfa8a565d1be22123713e4da,nfl,2026-09-21T23:36:22.899782,draftkings,240,-298,open
94,nfl-07f552badfa8a565d1be22123713e4da,nfl,2026-09-21T23:36:22.899782,fanduel,270,-335,open
95,nfl-07f552badfa8a565d1be22123713e4da,nfl,2026-09-21T23:36:22.899782,betmgm,260,-300,open
96,nfl-07f552badfa8a565d1be22123713e4da,nfl,2026-09-21T23:36:22.899782,pinnacle,244,-291,open
97,nfl-17a730b7d399feeab6a78c30767c29d2,nfl,2026-09-21T23:36:22.899782,draftkings,-142,120,open
98,nfl-17a730b7d399feeab6a78c30767c29d2,nfl,2026-09-21T23:36:22.899782,fanduel,-152,128,open
99,nfl-17a730b7d399feeab6a78c30767c29d2,nfl,2026-09-21T23:36:22.899782,betmgm,-155,130,open
100,nfl-17a730b7d399feeab6a78c30767c29d2,nfl,2026-09-21T23:36:22.899782,pinnacle,-144,128,open
101,nfl-1f3cfd315a24d1a7dd5859a8e6b88e18,nfl,2026-09-21T23:36:22.899782,draftkings,136,-162,open
102,nfl-1f3cfd315a24d1a7dd5859a8e6b88e18,nfl,2026-09-21T23:36:22.899782,fanduel,126,-148,open
103,nfl-1f3cfd315a24d1a7dd5859a8e6b88e18,nfl,2026-09-21T23:36:22.899782,betmgm,135,-160,open
104,nfl-1f3cfd315a24d1a7dd5859a8e6b88e18,nfl,2026-09-21T23:36:22.899782,pinnacle,146,-166,open
105,nfl-0339a0e41bcee12820eb3e64bb5fadb4,nfl,2026-09-21T23:36:22.899782,draftkings,-850,575,open
106,nfl-0339a0e41bcee12820eb3e64bb5fadb4,nfl,2026-09-21T23:36:22.899782,fanduel,-770,540,open
107,nfl-0339a0e41bcee12820eb3e64bb5fadb4,nfl,2026-09-21T23:36:22.899782,betmgm,-750,550,open
108,nfl-0339a0e41bcee12820eb3e64bb5fadb4,nfl,2026-09-21T23:36:22.899782,pinnacle,-656,486,open
109,nfl-555afd4a27aaa392662881cffa8f2eef,nfl,2026-09-21T23:36:22.899782,draftkings,215,-265,open
110,nfl-555afd4a27aaa392662881cffa8f2eef,nfl,2026-09-21T23:36:22.899782,fanduel,230,-280,open
111,nfl-555afd4a27aaa392662881cffa8f2eef,nfl,2026-09-21T23:36:22.899782,betmgm,220,-275,open
112,nfl-2a529c108305ffa049d8b6cfdbaa4d36,nfl,2026-09-21T23:36:22.899782,draftkings,-285,230,open
113,nfl-2a529c108305ffa049d8b6cfdbaa4d36,nfl,2026-09-21T23:36:22.899782,fanduel,-295,240,open
114,nfl-2a529c108305ffa049d8b6cfdbaa4d36,nfl,2026-09-21T23:36:22.899782,betmgm,-295,240,open
115,nfl-2a529c108305ffa049d8b6cfdbaa4d36,nfl,2026-09-21T23:36:22.899782,pinnacle,-283,238,open
116,nfl-9d2b09e0f9b6dd5ce0d985894f4f98fa,nfl,2026-09-21T23:36:22.899782,draftkings,350,-455,open
117,nfl-9d2b09e0f9b6dd5ce0d985894f4f98fa,nfl,2026-09-21T23:36:22.899782,fanduel,360,-460,open
118,nfl-9d2b09e0f9b6dd5ce0d985894f4f98fa,nfl,2026-09-21T23:36:22.899782,betmgm,340,-450,open
119,nfl-9d2b09e0f9b6dd5ce0d985894f4f98fa,nfl,2026-09-21T23:36:22.899782,pinnacle,306,-377,open
120,nfl-f1724dead3eab61546033032fc782375,nfl,2026-09-21T23:36:22.899782,draftkings,-122,102,open
121,nfl-f1724dead3eab61546033032fc782375,nfl,2026-09-21T23:36:22.899782,fanduel,-120,102,open
122,nfl-f1724dead3eab61546033032fc782375,nfl,2026-09-21T23:36:22.899782,betmgm,-120,105,open
123,nfl-f1724dead3eab61546033032fc782375,nfl,2026-09-21T23:36:22.899782,pinnacle,-118,105,open
124,nfl-84cfca14efc21363fd605508404cf1ff,nfl,2026-09-21T23:36:22.899782,draftkings,-155,130,open
125,nfl-84cfca14efc21363fd605508404cf1ff,nfl,2026-09-21T23:36:22.899782,fanduel,-154,130,open
126,nfl-84cfca14efc21363fd605508404cf1ff,nfl,2026-09-21T23:36:22.899782,betmgm,-160,130,open
127,nfl-84cfca14efc21363fd605508404cf1ff,nfl,2026-09-21T23:36:22.899782,pinnacle,-158,140,open
128,nfl-2e523fcb0497aa689473e290eb2b97de,nfl,2026-09-21T23:36:22.899782,draftkings,145,-175,open
129,nfl-2e523fcb0497aa689473e290eb2b97de,nfl,2026-09-21T23:36:22.899782,fanduel,142,-168,open
130,nfl-2e523fcb0497aa689473e290eb2b97de,nfl,2026-09-21T23:36:22.899782,betmgm,145,-175,open
131,nfl-2e523fcb0497aa689473e290eb2b97de,nfl,2026-09-21T23:36:22.899782,pinnacle,156,-178,open
132,nfl-3bfd8bfb4b8e9a365a0877879b73b16b,nfl,2026-09-21T23:36:22.899782,draftkings,-125,105,open
133,nfl-3bfd8bfb4b8e9a365a0877879b73b16b,nfl,2026-09-21T23:36:22.899782,fanduel,-136,116,open
134,nfl-3bfd8bfb4b8e9a365a0877879b73b16b,nfl,2026-09-21T23:36:22.899782,betmgm,-145,120,open
135,nfl-47dc7baa254659f3beb2ed2b38c207b6,nfl,2026-09-21T23:36:22.899782,draftkings,-180,150,open
136,nfl-47dc7baa254659f3beb2ed2b38c207b6,nfl,2026-09-21T23:36:22.899782,fanduel,-186,154,open
137,nfl-47dc7baa254659f3beb2ed2b38c207b6,nfl,2026-09-21T23:36:22.899782,betmgm,-190,155,open
138,nfl-47dc7baa254659f3beb2ed2b38c207b6,nfl,2026-09-21T23:36:22.899782,pinnacle,-174,156,open
