id,game_id,sport,ts,book,away_ml,home_ml,snapshot_type,commence_time
60,mlb-81f539754930db6ffbd116ca2d30ee9c,mlb,2026-09-22T17:58:45.615376,pinnacle,-128,118,open,2026-09-23T01:46:00Z
61,mlb-85b75fcab1b69e0a4e414382b9f1cc7e,mlb,2026-09-22T17:58:45.615376,fanduel,106,-124,open,2026-09-23T02:11:00Z
62,mlb-85b75fcab1b69e0a4e414382b9f1cc7e,mlb,2026-09-22T17:58:45.615376,draftkings,109,-131,open,2026-09-23T02:11:00Z
63,mlb-85b75fcab1b69e0a4e414382b9f1cc7e,mlb,2026-09-22T17:58:45.615376,betmgm,110,-130,open,2026-09-23T02:11:00Z
64,mlb-85b75fcab1b69e0a4e414382b9f1cc7e,mlb,2026-09-22T17:58:45.615376,pinnacle,117,-127,open,2026-09-23T02:11:00Z
65,nfl-e5fbd3b3953b896b1bf897ddadb3cc4b,nfl,2026-09-22T17:58:45.810257,draftkings,235,-290,open,2026-09-25T00:15:00Z
66,nfl-e5fbd3b3953b896b1bf897ddadb3cc4b,nfl,2026-09-22T17:58:45.810257,fanduel,220,-270,open,2026-09-25T00:15:00Z
67,nfl-e5fbd3b3953b896b1bf897ddadb3cc4b,nfl,2026-09-22T17:58:45.810257,betmgm,230,-275,open,2026-09-25T00:15:00Z
68,nfl-e5fbd3b3953b896b1bf897ddadb3cc4b,nfl,2026-09-22T17:58:45.810257,pinnacle,232,-274,open,2026-09-25T00:15:00Z
69,nfl-b225458a282e140c44c45651255f2f6c,nfl,2026-09-22T17:58:45.810257,draftkings,260,-325,open,2026-09-27T17:00:00Z
70,nfl-b225458a282e140c44c45651255f2f6c,nfl,2026-09-22T17:58:45.810257,fanduel,300,-375,open,2026-09-27T17:00:00Z
71,nfl-b225458a282e140c44c45651255f2f6c,nfl,2026-09-22T17:58:45.810257,betmgm,300,-375,open,2026-09-27T17:00:00Z
72,nfl-b225458a282e140c44c45651255f2f6c,nfl,2026-09-22T17:58:45.810257,pinnacle,266,-320,open,2026-09-27T17:00:00Z
73,nfl-613b8cd3a5fab58f7be4e3fd6f76223e,nfl,2026-09-22T17:58:45.810257,draftkings,-148,124,open,2026-09-27T17:00:00Z
74,nfl-613b8cd3a5fab58f7be4e3fd6f76223e,nfl,2026-09-22T17:58:45.810257,fanduel,-146,124,open,2026-09-27T17:00:00Z
