season,week,game_id,home_team,away_team,kickoff_utc,snapshot_utc,slot,markets
2023,4,2023_04_DEN_CHI,CHI,DEN,2023-10-01 17:00:00+00:00,2023-10-01 16:00:00+00:00,2023-10-01 16:00:00+00:00,"player_receptions,player_reception_yds"
2023,4,2023_04_MIN_CAR,CAR,MIN,2023-10-01 17:00:00+00:00,2023-10-01 16:00:00+00:00,2023-10-01 16:00:00+00:00,"player_receptions,player_reception_yds"
2023,4,2023_04_PIT_HOU,HOU,PIT,2023-10-01 17:00:00+00:00,2023-10-01 16:00:00+00:00,2023-10-01 16:00:00+00:00,"player_receptions,player_reception_yds"
2023,4,2023_04_LV_LAC,LAC,LV,2023-10-01 20:05:00+00:00,2023-10-01 19:05:00+00:00,2023-10-01 19:05:00+00:00,"player_receptions,player_reception_yds"
2023,4,2023_04_NE_DAL,DAL,NE,2023-10-01 20:25:00+00:00,2023-10-01 19:25:00+00:00,2023-10-01 19:25:00+00:00,"player_receptions,player_reception_yds"
2023,4,2023_04_ARI_SF,SF,ARI,2023-10-01 20:25:00+00:00,2023-10-01 19:25:00+00:00,2023-10-01 19:25:00+00:00,"player_receptions,player_reception_yds"
2023,4,2023_04_KC_NYJ,NYJ,KC,2023-10-02 00:20:00+00:00,2023-10-01 23:20:00+00:00,2023-10-01 23:20:00+00:00,"player_receptions,player_reception_yds"
2023,4,2023_04_SEA_NYG,NYG,SEA,2023-10-03 00:15:00+00:00,2023-10-02 23:15:00+00:00,2023-10-02 23:15:00+00:00,"player_receptions,player_reception_yds"
2023,5,2023_05_CHI_WAS,WAS,CHI,2023-10-06 00:15:00+00:00,2023-10-05 23:15:00+00:00,2023-10-05 23:15:00+00:00,"player_receptions,player_reception_yds"
2023,5,2023_05_JAX_BUF,BUF,JAX,2023-10-08 13:30:00+00:00,2023-10-08 12:30:00+00:00,2023-10-08 12:30:00+00:00,"player_receptions,player_reception_yds"
2023,5,2023_05_HOU_ATL,ATL,HOU,2023-10-08 17:00:00+00:00,2023-10-08 16:00:00+00:00,2023-10-08 16:00:00+00:00,"player_receptions,player_reception_yds"
2023,5,2023_05_CAR_DET,DET,CAR,2023-10-08 17:00:00+00:00,2023-10-08 16:00:00+00:00,2023-10-08 16:00:00+00:00,"player_receptions,player_reception_yds"
2023,5,2023_05_TEN_IND,IND,TEN,2023-10-08 17:00:00+00:00,2023-10-08 16:00:00+00:00,2023-10-08 16:00:00+00:00,"player_receptions,player_reception_yds"
2023,5,2023_05_NYG_MIA,MIA,NYG,2023-10-08 17:00:00+00:00,2023-10-08 16:00:00+00:00,2023-10-08 16:00:00+00:00,"player_receptions,player_reception_yds"
2023,5,2023_05_NO_NE,NE,NO,2023-10-08 17:00:00+00:00,2023-10-08 16:00:00+00:00,2023-10-08 16:00:00+00:00,"player_receptions,player_reception_yds"
2023,5,2023_05_BAL_PIT,PIT,BAL,2023-10-08 17:00:00+00:00,2023-10-08 16:00:00+00:00,2023-10-08 16:00:00+00:00,"player_receptions,player_reception_yds"
2023,5,2023_05_CIN_ARI,ARI,CIN,2023-10-08 20:05:00+00:00,2023-10-08 19:05:00+00:00,2023-10-08 19:05:00+00:00,"player_receptions,player_reception_yds"
2023,5,2023_05_PHI_LA,LA,PHI,2023-10-08 20:05:00+00:00,2023-10-08 19:05:00+00:00,2023-10-08 19:05:00+00:00,"player_receptions,player_reception_yds"
2023,5,2023_05_NYJ_DEN,DEN,NYJ,2023-10-08 20:25:00+00:00,2023-10-08 19:25:00+00:00,2023-10-08 19:25:00+00:00,"player_receptions,player_reception_yds"
2023,5,2023_05_KC_MIN,MIN,KC,2023-10-08 20:25:00+00:00,2023-10-08 19:25:00+00:00,2023-10-08 19:25:00+00:00,"player_receptions,player_reception_yds"
2023,5,2023_05_DAL_SF,SF,DAL,2023-10-09 00:20:00+00:00,2023-10-08 23:20:00+00:00,2023-10-08 23:20:00+00:00,"player_receptions,player_reception_yds"
2023,5,2023_05_GB_LV,LV,GB,2023-10-10 00:15:00+00:00,2023-10-09 23:15:00+00:00,2023-10-09 23:15:00+00:00,"player_receptions,player_reception_yds"
